Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_Formal,Notes,_HSK,_Dao,ID
拉链,lāliàn,noun: zipper,我的外套拉链坏了。,The zipper on my jacket is broken.,Everyday,,Unknown,2.7,673
吓坏,xiàhuài,verb: to frighten badly; to scare badly,那场意外把大家都吓坏了。,That accident scared everyone badly.,Everyday,,Unknown,2.7,674
快餐,kuàicān,fast food,我们中午吃快餐吧。,Let’s have fast food for lunch.,Neutral Formal,"Polished verb for initiating/launching an event, campaign, proposal, or action.",Band2,3.1,675
旅客,lǚkè,noun: traveler; passenger,许多旅客正在机场等候。,Many travelers are waiting at the airport.,Everyday,,Band2,3.1,676
青少年,qīngshàonián,Teenagers,这本书很适合青少年阅读。,This book is suitable for teenagers.,Official,"Used in rules, signs, notices, regulations: “prohibit / forbid.”",Band2,3.1,677
产生,chǎnshēng,"verb: to produce / to generate (usually abstract things like ideas, feelings)",这个决定会产生严重的后果。,This decision will produce serious consequences.,Literary,Emotion/anticipation word; more expressive than 等/希望.,Band3,3.1,678
产生,chǎnshēng,verb: to produce; to generate; to arise,这个决定产生了很大的影响。,This decision produced a huge impact.,Neutral Formal,"Standard word for challenge; common in school, work, games, and self-improvement.",Band3,3.1,679
对手,duìshǒu,noun: opponent / rival,这场比赛的对手非常强大。,The opponent in this match is very strong.,Everyday,,Band3,3.1,680
房屋,fángwū,noun: house / building,这片老旧的房屋正在被拆除。,These old houses are being demolished.,Protocol,"Formal speech/presentation activity in school, events, meetings, or public settings.",Band3,3.1,681
反正,fǎnzhèng,adverb: anyway / in any case,你不去也没关系，反正我一个人也能完成。,It’s fine if you don’t go — I can finish it alone anyway.,Neutral Formal,"Polished word meaning limited; common in resources, time, ability, space, quantity.",Band3,3.1,682
飞行,fēixíng,"verb: to fly
noun: flight (as an activity)",飞行员热爱飞行，每次飞行都让他兴奋不已。,The pilot loves flying — every flight excites him.,Neutral Formal,Written-style adverb meaning repeatedly/again and again.,Band3,3.1,683
歌手,gēshǒu,noun: singer,她梦想成为一名职业歌手。,She dreams of becoming a professional singer.,Literary,"Emotion-heavy word for enduring pain, pressure, difficulty, or unfairness.",Band3,3.1,684
国内,guónèi,noun/adjective: domestic / within the country,今年很多人选择在国内旅游。,Many people are choosing to travel domestically this year.,Literary,Poetic/reflective word for time; more literary than 时间.,Band3,3.1,685
缺少,quēshǎo,verb: to be short of / to be lacking (a thing or amount),目前仓库缺少原材料。,The warehouse is currently short of raw materials.,Neutral Formal,"Polished word for giving as a gift/free offer; common in ads, events, and polite contexts.",Band3,3.1,686
人群,rénqún,noun: crowd (of people),他在人群中一眼就看到了我。,He spotted me immediately in the crowd.,Official,"Used in notices/admin contexts for collecting/claiming items, certificates, tickets, benefits.",Band3,3.1,687
手指,shǒuzhǐ,noun: finger,他用手指指向地图上的位置。,He pointed to a spot on the map with his finger.,Literary,"Appreciative word for watching/enjoying scenery, art, flowers, performances, etc.",Band3,3.1,688
特色,tèsè,noun: characteristic / distinguishing feature,这家饭馆的菜有地方特色。,这家饭馆的菜有地方特色。,Neutral Formal,"Structured word for explaining/instructing; common in classes, tours, videos, and training.",Band3,3.1,689
听众,tīngzhòng,noun: audience / listeners,主持人向听众表达了感谢。,The host thanked the listeners.,Everyday,,Band3,3.1,690
体验,tǐyàn,"verb: to experience personally
noun: (personal) experience",通过亲身体验，他有了不一样的体验感受。,"Through personal experience, he gained a very different perspective.",Everyday,,Band3,3.1,691
团体,tuántǐ,noun: group / organization / collective (usually formal or structured),这个志愿者团体定期举办公益活动。,This volunteer group regularly organizes public welfare events.,Neutral Formal,"Product/description word meaning specially made; common in labels, food, products, and ads.",Band3,3.1,692
伟大,wěidà,adjective: great / magnificent,他为国家做出了伟大的贡献。,He made a great contribution to the country.,Official,"Used in forms, applications, documents, and administrative instructions.",Band3,3.1,693
温暖,wēnnuǎn,"noun: warmth
adjective: warm (both physically and emotionally)",这个冬天特别冷，但朋友的关心让我感到温暖，这种温暖非常珍贵。,"This winter is very cold, but my friend’s care made me feel warm — and that warmth is precious.",Discursive,"Written structure meaning “somewhat / to some extent,” usually in 有所提高/改变/了解.",Band3,3.1,694
信封,xìnfēng,noun: envelope,请把信放进这个信封里。,Please put the letter into this envelope.,Everyday,,Band3,3.1,695
幸运,xìngyùn,"noun: luck / fortune
adjective: lucky",他很幸运地中了彩票，这种幸运真让人羡慕。,He was lucky enough to win the lottery — such luck is enviable.,,,Band3,3.1,696
主动,zhǔdòng,"adjective: proactive / voluntary
adverb: actively / of one’s own accord",他主动帮助新同事，表现出很强的主动性。,"He actively helped the new colleague, showing strong initiative.",,,Band3,3.1,697
承认,chéngrèn,verb: to admit; to acknowledge,他终于承认自己错了。,He finally admitted that he was wrong.,,,Band4,3.1,698
打败,dǎbài,verb: to defeat; to beat,我们终于打败了对手。,We finally defeated our opponents.,,,Band4,3.1,699
登记,dēngjì,verb/noun: to register; registration,请先到柜台登记。,Please register at the counter first.,,,Band4,3.1,700
街道,jiēdào,noun: street; road,夜晚的街道十分安静。,The streets are very quiet at night.,,,Band4,3.1,701
节省,jiéshěng,verb: to save; to conserve,我们应该节省用水。,We should conserve water.,,,Band4,3.1,702
技巧,jìqiǎo,noun: skill; technique,学习语言需要一些技巧。,Learning languages requires some techniques.,,,Band4,3.1,703
聚会,jùhuì,noun/verb: gathering; party; to gather,我们周末准备举行聚会。,We plan to hold a gathering this weekend.,,,Band4,3.1,704
模型,móxíng,noun: model; mock-up,他正在制作飞机模型。,He is making an airplane model.,,,Band4,3.1,705
排列,páiliè,verb: to arrange / to line up,学生们把椅子整齐地排列在教室里。,The students arranged the chairs neatly in the classroom.,,,Band4,3.1,706
排列,páiliè,verb: to arrange; to line up,这些椅子已经排列整齐了。,These chairs have already been neatly arranged.,,,Band4,3.1,707
轻易,qīngyì,adverb/adjective: easily; lightly,不要轻易放弃梦想。,Do not easily give up your dreams.,,,Band4,3.1,708
市区,shìqū,noun: urban area; downtown,他住在市区附近。,He lives near the city area.,,,Band4,3.1,709
事先,shìxiān,adverb: beforehand; in advance,请事先通知我们。,Please inform us beforehand.,,,Band4,3.1,710
天真,tiānzhēn,adjective: innocent; naive,小孩子的想法很天真。,Children’s thoughts are very innocent.,,,Band4,3.1,711
体重,tǐzhòng,noun: body weight,我的体重最近增加了。,My body weight has increased recently.,,,Band4,3.1,712
投诉,tóusù,verb/noun: to complain; complaint,顾客向经理投诉服务不好。,The customer complained to the manager about the poor service.,,,Band4,3.1,713
网络,wǎngluò,noun: network; internet,这里的网络速度很快。,The internet speed here is very fast.,,,Band4,3.1,714
误会,wùhuì,noun/verb: misunderstanding; to misunderstand,对不起，我误会你了。,"Sorry, I misunderstood you.",,,Band4,3.1,715
严重,yánzhòng,adjective: serious; severe,这个问题非常严重。,This problem is very serious.,,,Band4,3.1,716
种植,zhòngzhí,verb: to plant; to cultivate,农民正在种植蔬菜。,The farmers are planting vegetables.,,,Band4,3.1,717
总共,zǒnggòng,adverb: altogether; in total,我们总共有二十个人。,There are twenty people in total.,,,Band4,3.1,718
阻止,zǔzhǐ,verb: to stop; to prevent,没有人能阻止他实现梦想。,Nobody can stop him from achieving his dream.,,,Band4,3.1,719
便利,biànlì,"noun: convenience
adjective: convenient",这家便利店带来了很多便利，购物也很便利。,"This convenience store brings a lot of convenience, and shopping is easy too.",,,Band5,3.1,720
便条,biàntiáo,noun: note; memo,她在桌上留了一张便条。,She left a note on the table.,,,Band5,3.1,721
工艺,gōngyì,noun: craftsmanship; craft technique,这件工艺品制作得很精细。,This handicraft item is very finely made.,,,Band5,3.1,722
可怜,kělián,adjective: pitiful; poor thing,那只受伤的小猫很可怜。,That injured kitten is very pitiful.,,,Band5,3.1,723
劳动,láodòng,noun/verb: labor; to work physically,劳动最光荣。,Labor is most honorable.,,,Band5,3.1,724
联络,liánluò,verb / noun: to contact / connection,有事请随时联络我，我手机一直开着。,Contact me anytime—my phone’s always on.,,,Band5,3.1,725
模糊,móhú,adjective/verb: blurry; vague; to blur,这张照片看起来很模糊。,This photo looks very blurry.,,,Band5,3.1,726
神情,shénqíng,noun: expression; look on one’s face,他的神情看起来很紧张。,His expression looked very nervous.,,,Band5,3.1,727
摔倒,shuāidǎo,verb: to fall down,小孩不小心摔倒了。,The child accidentally fell down.,,,Band5,3.1,728
体力,tǐlì,noun: physical strength; stamina,搬这些箱子需要很多体力。,Carrying these boxes requires a lot of physical strength.,,,Band5,3.1,729
为止,wéizhǐ,phrase: up to; until,到目前为止，一切都很顺利。,"Up to now, everything has gone smoothly.",,,Band5,3.1,730
以往,yǐwǎng,noun/adverb: in the past; formerly,今年比以往更忙。,This year is busier than before.,,,Band5,3.1,731
远处,yuǎnchù,noun: the distance; far away,我看见远处有一座山。,I saw a mountain in the distance.,,,Band5,3.1,732
真诚,zhēnchéng,adjective: sincere; genuine,他很真诚地向我道歉。,He sincerely apologized to me.,,,Band5,3.1,733
真相,zhēnxiàng,noun: truth; the real situation,我终于知道事情的真相了。,I finally learned the truth of the matter.,,,Band5,3.1,734
指示,zhǐshì,noun/verb: instruction; to instruct,请按照指示操作。,Please follow the instructions.,,,Band5,3.1,735
之下,zhīxià,phrase: under; beneath,在老师的指导之下，他进步很快。,"Under the teacher’s guidance, he improved quickly.",,,Band5,3.1,736
指责,zhǐzé,verb: to criticize / to blame,他做错了事，却还指责别人没帮他。,He made a mistake but still blamed others for not helping him.,,,Band5,3.1,737
